tconst	directors	writers
tt0001138	nm0294276	\N
tt0001682	nm0002177	nm0581683
tt0002197	nm0000428	nm0000428
tt0002545	\N	\N
tt0002804	\N	\N
tt0003859	nm0509287	nm0509287,nm0666286
tt0004259	nm0698839	\N
tt0004696	nm0377053	nm0241416
tt0005504	nm0002061	\N
tt0006008	nm0806565,nm0916665	nm0916665
tt0006437	nm0210352	nm0265572,nm0210352
tt0007454	nm0842521	nm0241416,nm0370271
tt0008123	nm0349785	nm0349785
tt0008540	nm0316794	nm0357795,nm0580648,nm0316794
tt0009544	nm0115218	nm0595569,nm0444508,nm0662701
tt0010261	nm0916665	nm0916665
tt0010391	nm0000779	nm0000779,nm0117018
tt0012451	nm0280205	nm0925213,nm0954654
tt0012752	nm0629243	nm0241416,nm0461241,nm0940689,nm0001196
tt0013059	nm0003433	nm0236626,nm0003433,nm0742633
tt0015042	nm0455938	\N
tt0018033	nm0046082,nm0903049	nm0323325,nm0521002,nm0510024,nm0547938
tt0018107	nm0332539,nm0318105	nm0866243,nm0014703,nm0191956,nm0600641
tt0019320	nm0136888	nm0073393,nm0288986
tt0020367	nm0749484	nm0031033,nm0715723,nm0774539,nm0820700
tt0020369	nm0673375	nm6624393
tt0023679	nm0314777	nm0563030,nm0954135
tt0023746	nm0331482	nm0299343
tt0024631	nm0356931	nm0922951,nm0857710,nm0549217
tt0024663	nm0163786,nm0769585	nm0241416,nm0355963,nm0163786,nm0765036,nm0169243,nm0321216
tt0026129	nm0562845	nm0236418,nm0810290,nm0520501,nm0333958
tt0027099	nm0498174	nm0629580,nm0498174,nm0241416
tt0028478	nm0002031	nm0011485,nm0590361,nm0028826,nm0371771,nm0276284
tt0030083	nm0036769	nm0036769,nm0863142
tt0030625	nm0523893	nm0662526,nm0202590
tt0032028	nm0245385	nm0615842,nm0237033,nm0474657,nm0325482,nm0375500,nm0241416
tt0032455	nm0019282,nm0035899,nm1968474,nm0272568,nm0359457,nm0359610,nm0373429,nm0414144,nm0527217,nm0730860,nm0766402,nm0789313	nm0335469,nm0400056,nm0086293,nm0687624,nm0226679,nm0390839,nm0942687,nm0538164,nm0373871,nm0668998,nm0266338,nm0553200,nm0857936,nm0827963,nm0572689,nm0257481,nm0810324,nm0672093,nm0754836,nm0670328,nm0821707,nm0335296,nm6773872
tt0034928	nm0466113	nm0821716,nm0456017
tt0035733	nm0194018,nm0314671	nm0400056
tt0035912	nm0002165	nm0009766,nm0018348,nm0289787,nm0210961
tt0036611	nm0005847	nm1090425,nm0649913
tt0037150	nm0355284	nm0578439,nm0766665,nm0277687,nm0181658,nm0282061
tt0039072	nm0626885	nm1548784,nm0316046,nm0538032,nm0673773
tt0040092	nm0744023	nm0168413,nm0000019,nm0744023,nm0070981,nm0684083,nm0884952
tt0040876	nm0796645	nm0241416,nm0034124
tt0042958	nm0000041	nm0452878,nm0000041
tt0043163	nm0671177,nm0260322	nm0032719,nm0328013,nm0674518
tt0044025	nm0001905,nm0002193,nm0208370,nm0238810,nm0480190,nm0727225,nm0744023	nm0042179,nm0002193,nm0053571,nm0063341,nm0098204,nm0171372,nm0264420,nm0274767,nm0423329,nm0682881,nm0727225,nm0744023,nm0816458,nm0890480,nm0923941
tt0044093	nm0091430	nm0241416,nm0358139
tt0044268	nm0748979,nm0567757,nm0075318,nm0598723	nm0071286,nm0718448,nm2496921,nm2138003,nm0437320,nm0649569,nm0696190,nm0740622,nm4077297,nm0073116,nm0338734,nm1056753,nm0776456,nm12972817,nm0268716,nm0268717,nm14674271,nm2036525,nm0632873,nm14674270,nm0748111,nm14673908
tt0046461	nm0402161	nm0241416,nm0002192
tt0048699	nm0776838	nm0515139,nm0123194
tt0048906	nm0293707,nm0567757,nm0503622,nm0006615,nm0432846	nm0178763,nm1856882,nm0241416,nm0268716,nm0268717,nm1660974,nm0006615,nm0173153,nm0208086,nm0210130,nm0542531,nm0673773,nm1080143
tt0048947	nm0514822	nm0491306,nm0561067,nm0093397
tt0049406	nm0000040	nm0000040,nm0860292,nm0925137
tt0049438	nm0405436	nm0062139,nm0404487
tt0056467	nm0003606,nm0001031,nm0218840,nm0223581,nm0000419,nm0596850,nm0671862,nm0235499	nm0409560,nm0561094,nm0099429,nm0218840,nm0000419,nm0545121,nm0671862,nm0001031,nm0678981
tt0056941	nm0505610	nm0731679,nm0322496
tt0059153	nm0769998	nm0769998
tt0060033	nm0630132,nm0428195,nm0936823,nm0790395,nm0229697,nm0295550,nm0494903,nm0822570,nm0464506,nm0068691,nm0189075,nm0206560,nm0239291,nm0550892,nm0607612,nm0819806,nm0255935,nm0562388,nm0911926,nm0356374	nm0319288,nm0928068,nm0628257,nm0109608,nm0011835,nm0238083,nm0788503,nm0788616,nm0260012,nm0500352,nm0805577,nm0123194,nm0777831,nm0484479,nm1531049,nm0175912,nm0175919,nm0186918,nm2120423,nm0329548,nm0343313,nm0370152,nm0370252,nm2120690,nm0732696,nm0736276,nm0740537,nm0754517,nm2120225,nm2122431,nm0067801,nm0094965,nm0206409,nm0229697,nm0504358,nm0517216,nm0544593,nm0551869,nm0579995,nm0606510,nm0873200,nm0312479,nm0991378,nm0656048
tt0060088	nm0359589	nm7052790,nm0140902
tt0060595	nm0937830	nm0883074,nm0756686
tt0061826	nm0496447	nm0496447
tt0061852	nm0718627	nm0166307,nm0942723,nm0027011,nm0314788,nm0456017,nm0670328
tt0064312	nm0925718	nm0925718
tt0064342	nm0240154	nm0038818
tt0064448	nm0347086	nm0712419,nm0290809,nm0254124
tt0065198	nm0000361,nm0494879,nm0613187	nm0613187,nm0000361,nm0494879
tt0067118	nm0318150	nm0318150,nm0365417,nm0751203
tt0067673	nm0852676	nm0204562,nm0825010
tt0067814	nm0538652	nm0246370,nm0045880
tt0068054	nm0240154,nm0334273,nm0725880,nm0562813,nm0048337,nm0934070,nm0521154,nm0173582,nm0696890,nm0280364,nm0492974,nm0931784,nm0203786,nm0395379,nm0587583,nm0805444,nm0818226	nm0187994,nm0321700,nm0656670,nm0277389,nm0420948,nm1839157,nm0712362,nm0604634,nm0914438
tt0068889	nm0434189	nm0389348,nm0434189
tt0069708	nm0152149	nm1308804,nm0152149
tt0070346	nm0337885	nm0651570,nm0030019
tt0071116	nm0534365	nm0140902,nm0534365
tt0071762	nm0002045	nm0756686,nm0503585
tt0072118	nm0497379	nm0497379
tt0072281	nm0504513	nm0292129,nm0241416
tt0072554	nm0706347,nm0448946,nm0685736,nm0802278,nm0606593,nm0724504,nm0132763,nm0449017,nm0291089,nm0291364,nm0178079,nm0600353,nm0732306,nm0445380	nm0086756,nm0005131,nm0542425,nm0072396,nm0335603,nm0936508,nm0862565,nm0093699,nm0089256,nm0456352,nm1097839,nm0253631,nm0839966,nm0666938,nm0674266,nm0364224,nm0425288,nm0907296,nm1134390,nm0059724,nm0918829,nm0026360,nm0564669,nm1038842,nm1104106,nm0550604,nm0676576,nm0269557,nm0353673,nm0938689,nm0394447,nm0407629,nm0825498,nm0432973,nm1001868,nm1095405,nm0437258,nm0633425,nm1098224,nm1101018,nm0255718,nm0125518,nm0155826,nm0169018,nm0381486,nm3129762,nm0518212,nm0652495,nm0800105,nm1104712,nm0308860,nm16490034,nm0397170,nm0594174,nm0047241,nm1095827,nm0395845,nm0061629,nm0295536,nm1104083,nm0714203,nm0935394,nm0414412,nm1094787,nm1095406,nm1583733,nm1094794,nm0204561,nm0307622,nm0330308,nm0595623,nm0689648,nm0924867,nm0365712,nm0384457,nm0386488,nm0899187,nm0817848
tt0072734	nm0434189	\N
tt0073993	nm0021079	nm0046322,nm0059724,nm0059949,nm0072396,nm0088564,nm0169362,nm0202567,nm0220432,nm0232581,nm0253631,nm14789769,nm0335603,nm0423583,nm0542425,nm0599088,nm0606806,nm0615080,nm2469992,nm0655462,nm0666938,nm0670339,nm0694344,nm0002445,nm0795748,nm1047699,nm0814068,nm0852729,nm0914335,nm0918829,nm0938687
tt0074539	nm0678963	nm0678963,nm0217808
tt0075011	nm0442369	nm0442369,nm0209684
tt0075112	nm0346087,nm0944400	nm0346087,nm0944400
tt0075791	nm0340170	nm0197781,nm0340170
tt0075925	nm0946811	nm0001940,nm0944003
tt0076538	nm0149548,nm0089940	nm0549393,nm0589316,nm0276039
tt0076554	nm0005787	nm0317232,nm0135339,nm0005787,nm0030762
tt0077631	nm0459170	nm0414448,nm0143558,nm0940125,nm0139591
tt0077957	nm0441804	nm1752009
tt0078615	nm0239865,nm0429958,nm0491852,nm0791027,nm0879000	nm0139218,nm0168653,nm0751554,nm0807347
tt0078879	nm0950109	nm0462837,nm0791084
tt0079476	nm0899139	nm0756686,nm0787165
tt0080907	nm0474539	nm0500377,nm0001382,nm0443839,nm0861774,nm0957549
