tconst	parentTconst	seasonNumber	episodeNumber
tt0044093	tt0959862	1	6
tt0064342	tt0058836	3	10
tt0080954	tt0165592	11	10
tt0097491	tt1601983	2	1
tt0099580	tt0098798	1	0
tt0217634	tt0165593	1	1
tt0226767	tt0165592	2	10
tt0235781	tt0202179	10	2
tt0268678	tt0060033	2	11
tt0277373	tt0131613	4	47
tt0283221	tt0866639	2	4
tt0283657	tt0159156	4	17
tt0283658	tt0790397	3	12
tt0327135	tt0463399	6	5
tt0335881	tt0989125	4	28
tt0375004	tt0353055	\N	\N
tt0381225	tt1012950	3	1
tt0394181	tt0096542	9	13
tt0438166	tt0159876	33	14
tt0487180	tt0247882	\N	\N
tt0498407	tt0165592	4	6
tt0500924	tt0108681	2	3
tt0503633	tt0115083	5	11
tt0503671	tt0115083	6	9
tt0504198	tt0084967	3	17
tt0504395	tt0090390	1	26
tt0504655	tt0105929	2	6
tt0504656	tt0105929	1	5
tt0504657	tt0105929	5	5
tt0504658	tt0105929	5	2
tt0504659	tt0105929	5	1
tt0504660	tt0105929	5	8
tt0504662	tt0105929	2	2
tt0504663	tt0105929	4	4
tt0504664	tt0105929	5	7
tt0504665	tt0105929	1	1
tt0504666	tt0105929	1	2
tt0504667	tt0105929	3	5
tt0504668	tt0105929	4	2
tt0504669	tt0105929	1	3
tt0504670	tt0105929	4	7
tt0504671	tt0105929	3	2
tt0504672	tt0105929	2	1
tt0504673	tt0105929	5	4
tt0504674	tt0105929	1	4
tt0504675	tt0105929	3	4
tt0504676	tt0105929	1	6
tt0504677	tt0105929	4	6
tt0504678	tt0105929	2	3
tt0504679	tt0105929	2	4
tt0504680	tt0105929	5	3
tt0504681	tt0105929	4	1
tt0504682	tt0105929	4	3
tt0504683	tt0105929	2	5
tt0504684	tt0105929	5	6
tt0504685	tt0105929	3	3
tt0504686	tt0105929	4	5
tt0504687	tt0105929	3	6
tt0504688	tt0105929	3	7
tt0504689	tt0105929	5	9
tt0505934	tt0048840	2	31
tt0506361	tt0047706	1	17
tt0506793	tt0157213	1	4
tt0506833	tt0270109	3	13
tt0506838	tt0270109	3	9
tt0508235	tt0047708	1	1
tt0508359	tt0047708	4	35
tt0508414	tt0088476	1	1
tt0508624	tt0285333	4	15
tt0509573	tt0163924	7	1
tt0509722	tt0111875	10	4
tt0511142	tt0205737	1	16
tt0512861	tt0162065	4	22
tt0513147	tt0279543	\N	\N
tt0513202	tt0105941	1	50
tt0513203	tt0105941	3	5
tt0513204	tt0105941	4	6
tt0513205	tt0105941	1	61
tt0513206	tt0105941	1	41
tt0513207	tt0105941	1	8
tt0513208	tt0105941	1	36
tt0513209	tt0105941	4	2
tt0513210	tt0105941	1	30
tt0513211	tt0105941	1	40
tt0513212	tt0105941	1	51
tt0513213	tt0105941	1	12
tt0513214	tt0105941	3	7
tt0513215	tt0105941	1	42
tt0513216	tt0105941	1	29
tt0513217	tt0105941	5	5
tt0513218	tt0105941	1	56
tt0513219	tt0105941	2	3
tt0513220	tt0105941	1	10
tt0513221	tt0105941	1	13
tt0513222	tt0105941	1	11
tt0513224	tt0105941	1	63
tt0513225	tt0105941	2	1
tt0513226	tt0105941	4	8
tt0513227	tt0105941	1	1
tt0513228	tt0105941	1	64
tt0513229	tt0105941	1	33
tt0513230	tt0105941	1	18
tt0513231	tt0105941	1	7
tt0513232	tt0105941	1	22
tt0513233	tt0105941	1	31
tt0513234	tt0105941	3	2
tt0513235	tt0105941	1	17
tt0513236	tt0105941	1	26
tt0513237	tt0105941	1	58
tt0513238	tt0105941	1	39
tt0513239	tt0105941	1	15
tt0513240	tt0105941	5	7
tt0513241	tt0105941	1	5
tt0513242	tt0105941	1	52
