tconst	averageRating	numVotes
tt0002197	5.5	336
tt0002545	7.6	17
tt0004696	5.4	20
tt0006008	5.8	45
tt0006437	7.6	32
tt0007454	6.1	49
tt0008123	5.7	16
tt0009544	7.8	38
tt0010391	6.7	361
tt0012752	6.9	1225
tt0013059	6.3	556
tt0018033	7.2	3836
tt0018107	6.8	1263
tt0023679	7.2	39
tt0023746	6.6	29
tt0024631	6.2	1071
tt0024663	5.2	534
tt0026129	6.6	2072
tt0027099	5.8	417
tt0028478	6.6	3379
tt0030083	6.1	33
tt0030625	6.1	343
tt0032028	5.9	716
tt0032455	7.7	108298
tt0034928	6.7	4895
tt0035733	7.3	1006
tt0035912	7.1	110
tt0036611	6.3	12
tt0037150	6.1	1155
tt0039072	5.5	56
tt0040092	6.9	2063
tt0040876	7.1	7384
tt0042958	7.2	4998
tt0043163	6.2	71
tt0044025	6.3	299
tt0044093	4.5	22
tt0044268	8.1	16
tt0046461	6.0	458
tt0048699	5.4	657
tt0048906	5.0	16
tt0048947	7.0	9907
tt0049406	7.9	102298
tt0049438	7.0	16
tt0056467	6.3	712
tt0056941	6.2	894
tt0059153	7.2	129
tt0060033	7.0	1329
tt0060088	5.9	233
tt0060595	6.5	29
tt0061826	5.6	1606
tt0061852	7.6	207239
tt0064312	7.1	75
tt0064448	6.1	833
tt0065198	4.7	1714
tt0067118	6.5	1190
tt0067673	5.9	217
tt0067814	7.8	2331
tt0068054	7.5	207
tt0068889	6.6	73
tt0069708	5.0	11
tt0070346	6.4	528
tt0071116	7.4	102
tt0071762	6.4	4177
tt0072118	6.8	36
tt0072281	7.1	21201
tt0072554	6.6	5540
tt0073993	7.1	70
tt0074539	5.9	1558
tt0075011	6.0	192
tt0075112	7.6	165
tt0075791	6.8	29
tt0075925	6.2	14683
tt0076538	6.3	27489
tt0076554	5.6	454
tt0077631	7.2	316038
tt0078615	7.1	62
tt0078879	4.6	2048
tt0079476	7.2	227
tt0080907	6.2	7499
tt0080954	7.5	26
tt0081022	5.3	55
tt0082508	7.2	1405
tt0083564	6.6	51729
tt0084237	7.3	31632
tt0084271	5.3	48
tt0084728	6.8	1326
tt0085683	8.2	38
tt0085834	6.0	38
tt0085869	4.5	193
tt0085873	5.2	990
tt0086262	2.8	1137
tt0086738	7.5	49
tt0086990	6.0	83
tt0087502	7.2	58
tt0088343	5.7	75
tt0090503	6.4	1425
tt0090506	7.6	11606
tt0090633	6.9	60188
tt0091434	6.3	73
tt0091848	4.0	315
tt0092622	3.8	1945
tt0093148	6.1	39552
tt0094304	6.0	952
tt0095180	5.7	81
tt0095246	6.2	1098
tt0095492	5.2	145
tt0096551	7.1	260
tt0096609	7.1	48
tt0096707	6.3	5168
tt0096866	6.7	7771
tt0097491	7.0	60
tt0097523	6.4	172513
tt0098067	7.1	57076
tt0098260	6.4	5781
tt0098798	7.1	8466
tt0098818	5.6	1584
tt0098825	8.5	15513
tt0098887	5.7	424
tt0099864	6.8	146539
tt0099878	5.5	5954
tt0100485	6.2	22010
tt0100732	7.2	1304
tt0100758	6.8	108967
tt0101294	5.4	217
tt0101329	6.5	29448
tt0102361	7.2	321
tt0102497	7.2	776
tt0103017	6.7	877
tt0104254	6.6	35943
tt0104757	5.3	8
