tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0001138	short	The Brothers	The Brothers	0	1910	\N	\N	Drama,Short
tt0001682	short	Home	Home	0	1911	\N	\N	Drama,Short
tt0002197	short	Friends	Friends	0	1912	\N	17	Romance,Short,Western
tt0002545	short	Twilight	Twilight	0	1912	\N	\N	Drama,Romance,Short
tt0002804	short	The Discovery	The Discovery	0	1913	\N	11	Comedy,Family,Romance
tt0003859	movie	Dope	Dope	0	1914	\N	\N	Drama
tt0004259	movie	Love	Love	0	1914	\N	\N	\N
tt0004696	movie	The Three Musketeers	The Three Musketeers	0	1914	\N	\N	Drama
tt0005504	movie	Home	Home	0	1915	\N	\N	Drama,Romance
tt0006008	movie	Scandal	Scandal	0	1915	\N	50	Drama
tt0006437	movie	The Blacklist	The Blacklist	0	1916	\N	50	Drama
tt0007454	movie	The Three Musketeers	The Three Musketeers	0	1916	\N	63	Adventure
tt0008123	movie	House of Cards	House of Cards	0	1917	\N	\N	Drama
tt0008540	movie	Scandal	Scandal	0	1917	\N	60	Comedy,Romance
tt0009544	movie	Revenge	Revenge	0	1918	\N	70	Western
tt0010261	movie	Home	Home	0	1919	\N	60	Drama
tt0010391	short	Love	Love	0	1919	\N	23	Comedy,Short
tt0012451	movie	The Match-Breaker	The Match-Breaker	0	1921	\N	50	Comedy,Romance
tt0012752	movie	The Three Musketeers	The Three Musketeers	0	1921	\N	119	Action,Adventure,Family
tt0013059	movie	Once Upon a Time	Der var engang	0	1922	\N	75	Drama,Family,Fantasy
tt0015042	movie	Love	Koi	0	1924	\N	60	Drama
tt0018033	movie	It	It	0	1927	\N	72	Comedy,Romance
tt0018107	movie	Love	Love	0	1927	\N	82	Drama,Romance
tt0019320	movie	Revenge	Revenge	0	1928	\N	70	Action,Drama,Romance
tt0020367	movie	Scandal	Scandal	0	1929	\N	70	Drama
tt0020369	movie	Scandal	Spletnya	0	1928	\N	70	Drama,Romance
tt0023679	movie	Dope	Der weiße Dämon	0	1932	\N	107	Drama
tt0023746	movie	Love	Ramûru	0	1933	\N	93	Drama,Romance
tt0024631	movie	Supernatural	Supernatural	0	1933	\N	65	Drama,Horror,Mystery
tt0024663	movie	The Three Musketeers	The Three Musketeers	0	1933	\N	210	Action,Adventure,Drama
tt0026129	movie	Bordertown	Bordertown	0	1935	\N	90	Crime,Drama,Film-Noir
tt0027099	movie	The Three Musketeers	The Three Musketeers	0	1935	\N	96	Action,Adventure,Romance
tt0028478	movie	The Walking Dead	The Walking Dead	0	1936	\N	66	Crime,Drama,Horror
tt0030083	movie	Friends	Druzya	0	1939	\N	85	Biography,War
tt0030625	movie	Prison Break	Prison Break	0	1938	\N	72	Crime,Drama,Thriller
tt0032028	movie	The Three Musketeers	The Three Musketeers	0	1939	\N	73	Action,Adventure,Comedy
tt0032455	movie	Fantasia	Fantasia	0	1940	\N	124	Animation,Family,Fantasy
tt0034928	movie	The Jungle Book	Jungle Book	0	1942	\N	108	Action,Adventure,Family
tt0035733	short	Chicken Little	Chicken Little	0	1943	\N	8	Animation,Comedy,Family
tt0035912	movie	Twilight	Félicie Nanteuil	0	1944	\N	99	Drama,Romance
tt0036611	movie	Army Wives	Army Wives	0	1944	\N	68	Comedy,Romance
tt0037150	movie	Once Upon a Time	Once Upon a Time	0	1944	\N	89	Comedy,Family,Fantasy
