title,rating,ratingDescription,release year,user rating score,user rating size,title_normalized,is_top_1000,titleType,isAdult,runtimeMinutes,genres,averageRating,numVotes,seasonNumber,episodeNumber,actors_list,directors_names,writers_names,success_score
white chicks,pg-13,80,True,82.0,80,white chicks,False,movie,False,109,"comedy,crime",5.9,179807,,,"marlon wayans,shawn wayans,busy philipps,maitland ward,jaime king,frankie faison,lochlyn munro,brittany daniel,keenen ivory wayans,andrew mcelfresh,rick alvarez",keenen ivory wayans,"keenen ivory wayans,shawn wayans,marlon wayans,andrew mcelfresh,michael anthony snowden,xavier cook",71.38790487408036
lucky number slevin,r,100,True,,82,lucky number slevin,True,movie,False,110,"crime,drama,thriller",7.7,333426,,,"josh hartnett,morgan freeman,lucy liu,michael rubenfeld,peter outerbridge,kevin chamberlin,paul mcguigan,jason smilovic,christopher eberts,kia jam,robert kravis,peter sova,andrew hulme,tricia wood",paul mcguigan,jason smilovic,97.92228006963755
grey's anatomy,tv-14,90,True,98.0,80,grey's anatomy,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
prison break,tv-14,90,True,98.0,80,prison break,False,short,False,30,"comedy,short",8.0,202,,,"chad villella,matt bettinelli-olpin,rob polonsky,jonah goldstein",matt bettinelli-olpin,"matt bettinelli-olpin,jonah goldstein,rob polonsky,chad villella",42.5056478323343
how i met your mother,tv-pg,70,True,94.0,80,how i met your mother,False,tvepisode,False,43,talk-show,8.6,69,20,2,"josh radnor,cobie smulders,alyson hannigan,neil patrick harris",unknown,unknown,36.53705908162449
supernatural,tv-14,90,True,95.0,80,supernatural,False,video,True,23,"adult,short",7.8,6,,,unknown,unknown,unknown,15.178099162631442
supernatural,tv-14,90,True,95.0,80,supernatural,False,short,False,30,"documentary,short",7.8,6,,,"mikel altuna,ianire calvo,aitor rodriguez,alan griffin",alan griffin,alan griffin,15.178099162631442
breaking bad,tv-ma,110,True,97.0,80,breaking bad,False,tvepisode,False,20,"action,adventure,comedy",7.8,6,1,13,ledger gibbs,ledger gibbs,ledger gibbs,15.178099162631442
the vampire diaries,tv-14,90,True,91.0,80,the vampire diaries,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
the walking dead,tv-ma,110,True,98.0,80,the walking dead,False,tvepisode,False,41,"action,adventure,crime",8.1,404,1,13,"anne dudek,diane neal,edward ornelas,gary glasberg,david appelbaum,joshua rexon,brian kirk,gordon lonsdale,susan bluestein,jason kennedy",edward ornelas,"gary glasberg,david appelbaum",48.63148524356296
pretty little liars,tv-14,90,True,96.0,80,pretty little liars,False,tvepisode,False,22,talk-show,7.8,6,2,32,"troian bellisario,ashley benson,shay mitchell,sheila rae,carey roberts","sheila rae,carey roberts",carey roberts,15.178099162631442
once upon a time,tv-pg,70,True,98.0,80,once upon a time,False,tvepisode,False,30,"comedy,drama,mystery",7.8,6,1,25,fahad alestaa,unknown,fahad alestaa,15.178099162631442
once upon a time,tv-pg,70,True,98.0,80,once upon a time,False,short,False,5,"drama,short",7.8,6,,,"emilee erny,eli barker,chris gill,dorian murphy",dorian murphy,dorian murphy,15.178099162631442
