title,rating,ratingDescription,release year,user rating score,user rating size,title_normalized,is_top_1000,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,seasonNumber,episodeNumber,principals_names_list,directors_names,writers_names
White Chicks,PG-13,80,2004,82.0,80,white chicks,False,tt0381707,movie,White Chicks,White Chicks,0.0,2004.0,109,"Comedy,Crime",5.9,179807.0,,,"Marlon Wayans, Shawn Wayans, Busy Philipps, Maitland Ward, Jaime King, Frankie Faison, Lochlyn Munro, Brittany Daniel, Keenen Ivory Wayans, Keenen Ivory Wayans, Shawn Wayans, Marlon Wayans, Andrew McElfresh, Rick Alvarez, Keenen Ivory Wayans, Marlon Wayans",Keenen Ivory Wayans,"Keenen Ivory Wayans, Shawn Wayans, Marlon Wayans, Andrew McElfresh, Michael Anthony Snowden, Xavier Cook"
Lucky Number Slevin,R,100,2006,,82,lucky number slevin,True,tt0425210,movie,Lucky Number Slevin,Lucky Number Slevin,0.0,2006.0,110,"Crime,Drama,Thriller",7.7,333426.0,,,"Josh Hartnett, Morgan Freeman, Lucy Liu, Michael Rubenfeld, Peter Outerbridge, Kevin Chamberlin, Paul McGuigan, Jason Smilovic, Christopher Eberts, Kia Jam, Robert Kravis, Peter Sova, Andrew Hulme, Tricia Wood",Paul McGuigan,Jason Smilovic
Grey's Anatomy,TV-14,90,2016,98.0,80,grey's anatomy,False,,,,,,,,,,,,,,,
Prison Break,TV-14,90,2008,98.0,80,prison break,False,tt2161664,short,Prison Break,Prison Break,0.0,2008.0,30,"Comedy,Short",8.0,202.0,,,"Chad Villella, Matt Bettinelli-Olpin, Rob Polonsky, Matt Bettinelli-Olpin, Matt Bettinelli-Olpin, Jonah Goldstein, Rob Polonsky, Chad Villella, Matt Bettinelli-Olpin, Rob Polonsky, Chad Villella, Jonah Goldstein",Matt Bettinelli-Olpin,"Matt Bettinelli-Olpin, Jonah Goldstein, Rob Polonsky, Chad Villella"
How I Met Your Mother,TV-PG,70,2014,94.0,80,how i met your mother,False,tt3615240,tvEpisode,How I Met Your Mother,How I Met Your Mother,0.0,2014.0,43,Talk-Show,8.6,69.0,20,2,"Josh Radnor, Cobie Smulders, Alyson Hannigan, Neil Patrick Harris",Unknown,Unknown
Supernatural,TV-14,90,2016,95.0,80,supernatural,False,tt10460848,video,Supernatural,Supernatural,1.0,2016.0,23,"Adult,Short",7.8,6.0,,,Unknown,Unknown,Unknown
Supernatural,TV-14,90,2016,95.0,80,supernatural,False,tt6260972,short,Supernatural,Supernatural,0.0,2016.0,30,"Documentary,Short",7.8,6.0,,,"Mikel Altuna, Ianire Calvo, Aitor Rodriguez, Alan Griffin, Alan Griffin",Alan Griffin,Alan Griffin
Breaking Bad,TV-MA,110,2013,97.0,80,breaking bad,False,tt12084802,tvEpisode,Breaking Bad,Breaking Bad,0.0,2013.0,20,"Action,Adventure,Comedy",7.8,6.0,1,13,"Ledger Gibbs, Ledger Gibbs, Ledger Gibbs, Ledger Gibbs, Ledger Gibbs",Ledger Gibbs,Ledger Gibbs
Breaking Bad,TV-MA,110,2013,97.0,80,breaking bad,False,tt3075216,tvEpisode,Breaking Bad,Breaking Bad,0.0,2013.0,23,"Short,Talk-Show",7.9,85.0,1,1,"Vince Gilligan, Vince Gilligan, Bryan Cranston, Bryan Cranston, Moira Walley-Beckett, Moira Walley-Beckett, Peter Gould, Peter Gould, Sam Catlin, Sam Catlin, George Mastras, George Mastras, Gennifer Hutchison, Gennifer Hutchison, Thomas Schnauz, Thomas Schnauz",Unknown,Unknown
Breaking Bad,TV-MA,110,2013,97.0,80,breaking bad,False,tt3105216,tvEpisode,Breaking Bad,Breaking Bad,0.0,2013.0,5,Comedy,7.9,153.0,2,18,"Andy Signore, Andy Signore, Brett Weiner, Jordan Morris, Dan Murrell, Andy Signore, Dan Murrell",Andy Signore,"Andy Signore, Brett Weiner, Jordan Morris, Dan Murrell, Jason Pickar, Spencer Gilbert"
Breaking Bad,TV-MA,110,2013,97.0,80,breaking bad,False,tt3129166,tvEpisode,Breaking Bad,Breaking Bad,0.0,2013.0,30,Comedy,7.0,24.0,1,3,"Allan Trautman, Donna Kimball, Artie Esposito, Artie Esposito, Patrick Bristow, Jason deVilliers",Patrick Bristow,Unknown
Breaking Bad,TV-MA,110,2013,97.0,80,breaking bad,False,tt3699148,tvEpisode,Breaking Bad,Breaking Bad,0.0,2013.0,30,"Documentary,Short",4.3,8.0,2,12,"Natasha Feldman, Julianna Strickland, Natasha Feldman, Julianna Strickland","Natasha Feldman, Julianna Strickland",Unknown
Breaking Bad,TV-MA,110,2013,97.0,80,breaking bad,False,tt4111020,tvEpisode,Breaking Bad,Breaking Bad,0.0,2013.0,4,"Animation,Comedy",5.9,9.0,1,23,"Zack James, Alex Negrete, Zack James, Alex Negrete, Zack James","Zack James, Alex Negrete","Zack James, Alex Negrete"
The Vampire Diaries,TV-14,90,2017,91.0,80,the vampire diaries,False,,,,,,,,,,,,,,,
The Walking Dead,TV-MA,110,2015,98.0,80,the walking dead,False,tt4338364,tvEpisode,The Walking Dead,The Walking Dead,0.0,2015.0,41,"Action,Adventure,Crime",8.1,404.0,1,13,"Anne Dudek, Diane Neal, Edward Ornelas, Gary Glasberg, David Appelbaum, David Appelbaum, Joshua Rexon, Brian Kirk, Gordon Lonsdale, Susan Bluestein, Jason Kennedy",Edward Ornelas,"Gary Glasberg, David Appelbaum"
The Walking Dead,TV-MA,110,2015,98.0,80,the walking dead,False,tt5122532,tvEpisode,The Walking Dead,The Walking Dead,0.0,2015.0,30,Music,7.8,6.0,2,5,"Tom Grey, Tom Grey, Tom Grey",Tom Grey,Tom Grey
The Walking Dead,TV-MA,110,2015,98.0,80,the walking dead,False,tt5138212,tvEpisode,The Walking Dead,The Walking Dead,0.0,2015.0,30,Comedy,7.8,6.0,6,22,"Jason Vitteri-Lewis, Jason Vitteri-Lewis, Jason Vitteri-Lewis, Jason Vitteri-Lewis, Jason Vitteri-Lewis",Jason Vitteri-Lewis,Jason Vitteri-Lewis
The Walking Dead,TV-MA,110,2015,98.0,80,the walking dead,False,tt5966166,tvEpisode,The Walking Dead,The Walking Dead,0.0,2015.0,30,Adventure,7.8,6.0,1,1,"Ilmar Molder, Ilmar Molder, Ilmar Molder, Ilmar Molder",Ilmar Molder,Ilmar Molder
Pretty Little Liars,TV-14,90,2016,96.0,80,pretty little liars,False,tt5796704,tvEpisode,Pretty Little Liars,Pretty Little Liars,0.0,2016.0,22,Talk-Show,7.8,6.0,2,32,"Troian Bellisario, Ashley Benson, Shay Mitchell, Sheila Rae, Carey Roberts, Carey Roberts","Sheila Rae, Carey Roberts",Carey Roberts
Once Upon a Time,TV-PG,70,2016,98.0,80,once upon a time,False,tt10189820,tvEpisode,Once Upon a Time,Once Upon a Time,0.0,2016.0,30,"Comedy,Drama,Mystery",7.8,6.0,1,25,Fahad Alestaa,Unknown,Fahad Alestaa
Once Upon a Time,TV-PG,70,2016,98.0,80,once upon a time,False,tt13535752,tvEpisode,Once Upon a Time,Once Upon a Time,0.0,2016.0,30,Comedy,7.8,6.0,1,1,Lauren O'Kill,"Katie O'Hara, Lauren O'Kill",Lauren O'Kill
Once Upon a Time,TV-PG,70,2016,98.0,80,once upon a time,False,tt5945924,tvEpisode,Once Upon a Time,Once Upon a Time,0.0,2016.0,22,"Action,Adventure,Animation",6.7,17.0,4,19,"Elan Garfias, Maurice LaMarche, Shannon McKain, Steve Blum, Parvesh Cheena, Kevin Altieri, Jos Humphrey, Nicole Dubuc, Brian Hohlfeld, Jeff Kline, Gregory Bonsignore, Judge Plummer, Matt Barrios, Ginny McSwain","Kevin Altieri, Jos Humphrey","Nicole Dubuc, Brian Hohlfeld, Jeff Kline, Gregory Bonsignore, Zac Atkinson"
Once Upon a Time,TV-PG,70,2016,98.0,80,once upon a time,False,tt6663180,short,Once Upon a TIme,Once Upon a TIme,0.0,2016.0,5,"Drama,Short",7.8,6.0,,,"Emilee Erny, Eli Barker, Chris Gill, Dorian Murphy, Dorian Murphy, Dorian Murphy, Dorian Murphy",Dorian Murphy,Dorian Murphy
Once Upon a Time,TV-PG,70,2016,98.0,80,once upon a time,False,tt8020398,tvEpisode,Once Upon a Time,Once Upon a Time,0.0,2016.0,30,Talk-Show,7.8,6.0,3,2,Unknown,Unknown,Unknown
Once Upon a Time,TV-PG,70,2016,98.0,80,once upon a time,False,tt8535292,tvEpisode,Once upon a Time,Once upon a Time,0.0,2016.0,30,News,7.8,6.0,4,23,Unknown,Unknown,Unknown
Sherlock,TV-14,90,2016,95.0,80,sherlock,False,tt4959996,tvSeries,sHERlock,sHERlock,0.0,2016.0,30,"Crime,Drama,Mystery",7.6,86.0,,,"Helen Davies, Lisa Bunker, Cherry Lemonade, Todd Zsiga, Anna Doyle","Kate Tracy, Helen Davies","Lisa Bunker, Charmaine L. Clark, Arthur Conan Doyle, Helen Davies, Kate Tracy"
Death Note,TV-14,90,2006,77.0,80,death note,False,tt0758742,movie,Death Note,Death Note: Desu nôto,0.0,2006.0,126,"Crime,Drama,Fantasy",7.5,32742.0,,,"Tatsuya Fujiwara, Ken'ichi Matsuyama, Ken'ichi Matsuyama, Asaka Seto, Yû Kashii, Shigeki Hosokawa, Michiko Godai, Hikari Mitsushima, Ikuji Nakamura, Sota Aoyama, Shin Shimizu, Shûsuke Kaneko, Tsugumi Ôba, Takeshi Obata, Tetsuya Oishi, Toyoharu Fukuda, Takahiro Kobashi, Takahiro Satô, Hiroshi Takase, Yôsuke Yafune",Shûsuke Kaneko,"Tsugumi Ôba, Takeshi Obata, Tetsuya Oishi"
Death Note,TV-14,90,2006,77.0,80,death note,False,tt0877057,tvSeries,Death Note,Death Note: Desu nôto,0.0,2006.0,24,"Animation,Crime,Drama",8.9,430456.0,,,"Mamoru Miyano, Brad Swaile, Ryô Naitô, Ryô Naitô, Brian Drummond, Brian Drummond, Brian Drummond, Naoya Uchida, Kappei Yamaguchi","Tetsurô Araki, Norimitsu Suzuki, Kei Tsunematsu, Mitsuyuki Masuhara, Tomohiko Itô, Hiroyuki Tsuchiya, Mitsuhiro Yoneda, Eiko Nishi, Makoto Bessho, Shinji Nagamura, Oyunamu, Naoyasu Habu, Hisato Shimoda, Yukio Okazaki, Hironori Aoyagi, Naoto Hashimoto, Takayuki Hirao, Hideki Itô, Ryôsuke Nakamura, Tetsuhito Saitô, Tomio Yamauchi","Gracie P. Aylward, Toshiki Inoue, Tomohiko Itô, Yasuko Kobayashi, Takeshi Obata, Shôji Yonemura, Tsugumi Ôba"
Naruto,TV-PG,70,2008,88.0,80,naruto,False,,,,,,,,,,,,,,,
The Hunter,R,100,2011,,82,the hunter,False,tt1703148,movie,The Hunter,The Hunter,0.0,2011.0,100,"Adventure,Drama,Thriller",6.7,42119.0,,,"Morgan Davies, Finn Woodlock, John Brumpton, Dan Wyllie, Sullivan Stapleton, Daniel Nettheim, Alice Addison, Wain Fimeri, Daniel Nettheim, Julia Leigh, Vincent Sheehan, Andrew Lancaster, Michael Lira, Robert Humphreys, Roland Gallois, Jane Norris, Steven Jones-Evans",Daniel Nettheim,"Alice Addison, Wain Fimeri, Daniel Nettheim, Julia Leigh"
The Hunter,R,100,2011,,82,the hunter,False,tt1922675,movie,The Hunter,Okhotnik,0.0,2011.0,124,Drama,5.8,150.0,,,"Mikhail Barskovich, Tatyana Shapovalova, Gera Avdochenok, Vladimir Degilev, Oksana Semenova, Tatyana Maksyutova, Natalya Karpova, Bakur Bakuradze, Bakur Bakuradze, Ilya Malakhova, Nikolay Vavilov, Ilya Malakhova, Arseni Troitski",Bakur Bakuradze,"Bakur Bakuradze, Ilya Malakhova"
The Hunter,R,100,2011,,82,the hunter,False,tt2119544,short,The Hunter,The Hunter,0.0,2011.0,7,"Animation,Short",7.0,17.0,,,"Marieka Walsh, Marieka Walsh, Elliott Wheeler, Marieka Walsh, Marieka Walsh",Marieka Walsh,Marieka Walsh
The Hunter,R,100,2011,,82,the hunter,False,tt2290727,short,The Hunter,The Hunter,0.0,2011.0,30,Short,7.8,6.0,,,"Cory Dangerfield, Jewel K. Nelson, Cory Dangerfield, Cory Dangerfield, Cory Dangerfield, Cory Dangerfield",Cory Dangerfield,Cory Dangerfield
Lottie Dottie Chicken,TV-Y,10,2009,,82,lottie dottie chicken,False,,,,,,,,,,,,,,,
Arrow,TV-14,90,2015,96.0,80,arrow,False,tt4364638,tvEpisode,Arrow,Arrow,0.0,2015.0,30,"Documentary,Talk-Show",9.1,97.0,2,27,"Melanie McFarland, Stephen Amell, John Barrowman, Colton Haynes, Ron Sylvester, Melanie McFarland",Ron Sylvester,Melanie McFarland
Black Mirror,TV-MA,110,2016,80.0,80,black mirror,False,tt11483632,tvEpisode,Black Mirror,Black Mirror,0.0,2016.0,30,"Animation,Comedy,Short",7.8,6.0,1,6,Unknown,Unknown,Unknown
The Originals,TV-14,90,2016,74.0,80,the originals,False,tt8534444,tvEpisode,The Originals,The Originals,0.0,2016.0,8,News,7.8,6.0,3,16,Unknown,Unknown,Unknown
The 100,NR,124,2016,97.0,80,the 100,False,tt6359016,tvEpisode,The 100,The 100,0.0,2016.0,30,Comedy,7.6,7.0,2,9,"Nathaniel Avila, Nathaniel Avila, Nathaniel Avila, Nathaniel Avila",Nathaniel Avila,Nathaniel Avila
The 100,NR,124,2016,97.0,80,the 100,False,tt8535222,tvEpisode,The 100,The 100,0.0,2016.0,30,News,9.4,12.0,3,42,Unknown,Unknown,Unknown
Masha and the Bear,TV-Y,10,2013,81.0,80,masha and the bear,False,,,,,,,,,,,,,,,
"ÌÒ Pai, ÌÒ - Look at This",TV-MA,110,2007,,82,"ìò pai, ìò - look at this",False,,,,,,,,,,,,,,,
Nymphomaniac: Volume 1,NR,124,2013,,82,nymphomaniac: volume 1,False,,,,,,,,,,,,,,,
Hunter X Hunter (2011),NR,124,2013,57.0,80,hunter x hunter (2011),False,,,,,,,,,,,,,,,
Marvel's Luke Cage,TV-MA,110,2016,95.0,80,marvel's luke cage,False,tt8534480,tvEpisode,Marvel's Luke Cage,Marvel's Luke Cage,0.0,2016.0,30,News,7.8,6.0,3,30,Unknown,Unknown,Unknown
Marvel's Iron Fist,TV-MA,110,2017,98.0,80,marvel's iron fist,False,,,,,,,,,,,,,,,
Narcos,TV-MA,110,2016,94.0,80,narcos,False,tt6135644,tvEpisode,Narcos,Narcos,0.0,2016.0,30,Comedy,7.8,6.0,2,2,"Nathaniel Avila, Nathaniel Avila, Nathaniel Avila, Nathaniel Avila",Nathaniel Avila,Nathaniel Avila
The Flash,TV-PG,70,2016,98.0,80,the flash,False,tt8088778,tvEpisode,The Flash,The Flash,0.0,2016.0,30,Talk-Show,7.8,6.0,2,12,"Lisa Beth Kovetz, Lisa Beth Kovetz",Unknown,Lisa Beth Kovetz
The Seven Deadly Sins,TV-14,90,2016,,82,the seven deadly sins,False,,,,,,,,,,,,,,,
Scream,TV-14,90,2016,,82,scream,False,tt18184362,tvEpisode,Scream,Scream,0.0,2016.0,30,News,7.8,6.0,2,14,"Christian Villarreal, Nuh Omar, Nuh Omar, Christian Villarreal",Nuh Omar,"Nuh Omar, Christian Villarreal"
Scream,TV-14,90,2016,,82,scream,False,tt5554932,tvEpisode,Scream,Scream,0.0,2016.0,44,Crime,7.4,23.0,1,1,"Carsten Oblaender, Josh MacDonald",Carsten Oblaender,Josh MacDonald
Scream,TV-14,90,2016,,82,scream,False,tt6338324,short,Scream,Scream,0.0,2016.0,30,"Drama,Short",7.8,6.0,,,"Harry Thomas, Justin Ian, Justin Ian",Harry Thomas,Unknown
Scream,TV-14,90,2016,,82,scream,False,tt6348208,short,Scream,Scream,0.0,2016.0,1,"Horror,Short",4.5,28.0,,,"Shaleeni Ranchhod, Marco Romano, Marco Romano, Marco Romano, Marco Romano, Marco Romano",Marco Romano,Marco Romano
The Do-Over,TV-MA,110,2016,84.0,80,the do-over,False,tt4769836,movie,The Do-Over,The Do-Over,0.0,2016.0,108,"Action,Adventure,Comedy",5.7,54317.0,,,"Adam Sandler, David Spade, Nick Swardson, Renée Taylor, Natasha Leggero, Steven Brill, Kevin Barnett, Chris Pappas, Allen Covert, Adam Sandler, Ted Sarandos, Rupert Gregson-Williams, Tom Costain",Steven Brill,"Kevin Barnett, Chris Pappas"
OperaÌ¤Ìµes Especiais,TV-MA,110,2015,,82,operaì¤ìµes especiais,False,,,,,,,,,,,,,,,
3%,TV-MA,110,2016,,82,3%,False,tt4922804,tvSeries,3%,3%,0.0,2016.0,49,"Action,Drama,Sci-Fi",7.3,29378.0,,,"Bianca Comparato, Vaneza Oliveira, Rodolfo Valente, Rafael Lozano, Rafael Lozano, Cynthia Aparecida, Cynthia Aparecida, Bruno Fagundes, Laila Garin, Laila Garin, Thais Lago, Pedro Aguilera","Jotagá Crema, Daina Giannecchini, Dani Libardi, Philippe Barcinski, César Charlone","Pedro Aguilera, Denis Nielsen, Ivan Nakamura, Teodoro Poppovic, Carol Rodrigues, Guilherme Freitas, Juliana Rojas, André Sirangelo, Jotagá Crema, Cássio Koshikumo, Andrea Midori, Marcelo Montenegro, Natalia Maeda"
3%,TV-MA,110,2016,,82,3%,False,tt5806854,tvEpisode,3%,3%,0.0,2016.0,30,Reality-TV,7.8,6.0,1,11,"Justine Wollaston, Justine Wollaston",Justine Wollaston,Unknown
Trollhunters,TV-Y7-FV,42,2016,83.0,80,trollhunters,False,,,,,,,,,,,,,,,
Fearless,TV-14,90,2016,,82,fearless,False,tt1312235,movie,Fearless,Fearless,0.0,2016.0,88,"Comedy,Drama,Musical",6.1,29.0,,,"Michael Copon, Michael Copon, Michael Copon, Kailyn Voris, Jason Rogers, Mark Maine, Mark Maine, Mike Terrell, Michael Copon, Jonathan Harrill, Mark Maine, Mike Terrell, Niko Vilaivongs",Mark Maine,"Mark Maine, Mike Terrell"
Fearless,TV-14,90,2016,,82,fearless,False,tt5369546,tvEpisode,Fearless,Fearless,0.0,2016.0,30,Drama,7.8,6.0,1,2,Unknown,Unknown,Unknown
Fearless,TV-14,90,2016,,82,fearless,False,tt5883700,tvSeries,Fearless,Fearless,0.0,2016.0,30,Documentary,7.1,358.0,,,Guilherme Marchi,Michael John Warren,Unknown
Fearless,TV-14,90,2016,,82,fearless,False,tt6095712,tvEpisode,Fearless,Fearless,0.0,2016.0,30,Reality-TV,7.8,6.0,3,48,"Renna Nightingale, Renna Nightingale, Renna Nightingale, Renna Nightingale",Renna Nightingale,Renna Nightingale
Fearless,TV-14,90,2016,,82,fearless,False,tt6539272,tvEpisode,Fearless,Fearless,0.0,2016.0,30,Comedy,7.8,6.0,1,12,Brittany Ashley,Unknown,Brittany Ashley
Fearless,TV-14,90,2016,,82,fearless,False,tt7107098,short,Fearless,Fearless,0.0,2016.0,9,"Drama,Family,Short",7.8,6.0,,,"Tim Nolte, Maggie Hartmans, Tim Nolte, Tim Nolte",Tim Nolte,"Maggie Hartmans, Tim Nolte"
Hyena Road,R,100,2015,,82,hyena road,False,tt4034452,movie,Hyena Road,Hyena Road,0.0,2015.0,120,"Drama,War",6.5,9638.0,,,"Kelly Holden, Ibrahim Dweiken, Andrew Wall, Niamatullah Arghandabi, Paul Gross, Paul Gross, Paul Gross",Paul Gross,Paul Gross
Santa Clarita Diet,TV-MA,110,2017,82.0,80,santa clarita diet,False,tt5580540,tvSeries,Santa Clarita Diet,Santa Clarita Diet,0.0,2017.0,30,"Comedy,Horror",7.8,80485.0,,,"Natalie Morales, Natalie Morales, Jonathan Slavin, Victor Fresco","Marc Buckland, Ken Kwapis, Steve Pink, Ruben Fleischer, Adam Arkin, Tamra Davis, Dean Parisot, Lynn Shelton, Craig Zisk, Jamie Babbit, Jaffar Mahmood, Andy Ackerman, Rebecca Asher, Geeta Vasant Patel","Victor Fresco, Aaron Brownstein, Simon Ganz, Melissa Hunter, Ben Smith, Caitlin Meares, Clay Graham, Michael A. Ross, Chadd Gindin, Leila Cohan, Sarah Walker, Romi Barta"
"Sex, Love and Therapy",NR,124,2014,,82,"sex, love and therapy",False,,,,,,,,,,,,,,,
White Girl,UR,124,2016,,82,white girl,False,tt4129870,movie,White Girl,White Girl,0.0,2016.0,88,"Crime,Drama",5.7,12218.0,,,"Morgan Saylor, Brian Marc, Ralph Rodriguez, Elizabeth Wood, Elizabeth Wood, Gabriel Nussbaum, Michael Simmonds, Chris Trujillo",Elizabeth Wood,Elizabeth Wood
Girlboss,TV-MA,110,2017,94.0,80,girlboss,False,tt5706996,tvSeries,Girlboss,Girlboss,0.0,2017.0,26,Comedy,7.0,20385.0,,,"Ellie Reed, Dean Norris, Kay Cannon","Christian Ditter, Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, John Riggi","Sophia Amoruso, Jen Braeden, Kay Cannon, Karen Graci, Brian Shortall, Lee Sung Jin, Eben Russell, Caroline Williams, Joanna Calo, Jake Fogelnest"
City of God: 10 Years Later,TV-MA,110,2013,,82,city of god: 10 years later,False,tt4103686,movie,City of God: 10 Years Later,Cidade de Deus: 10 Anos Depois,0.0,2013.0,70,Documentary,6.4,1562.0,,,"Seu Jorge, Thiago Martins, Rubens Sabino, Cavi Borges, Luciano Vidigal, Maria do Rosário Caetano, Carla Osório, André Sampaio, Cavi Borges, André Sampaio","Cavi Borges, Luciano Vidigal","Maria do Rosário Caetano, Carla Osório, André Sampaio, Cavi Borges, Luciano Vidigal"
13 Reasons Why,TV-MA,110,2017,99.0,80,13 reasons why,False,tt1837492,tvSeries,13 Reasons Why,13 Reasons Why,0.0,2017.0,60,"Drama,Mystery,Thriller",7.4,329942.0,,,"Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe, Brandon Flynn, Justin Prentice, Devin Druid, Amy Hargreaves, Miles Heizer, Brian Yorkey","Jessica Yu, Kyle Patrick Alvarez, Gregg Araki, Michael Morris, Kevin Dowling, Carl Franklin, Tom McCarthy, Helen Shaver, Kat Candler, Eliza Hittman, Karen Moncrieff, Aurora Guerrero, Bronwen Hughes, Sunu Gonera, Russell Mulcahy, Brenda Strong, Michael Sucsy, John T. Kretchmer, Tommy Lohmann, Brian Yorkey","Jay Asher, Brian Yorkey, Julia Bicknell, Nic Sheff, Rohit Kumar, Felischa Marye, Kirk A. Moore, Thomas Higgins, Hayley Tyler, Allen MacDonald, M.K. Malone, Elizabeth Benjamin, Diana Son, Marissa Jo Cerar, Helen Shang, Trevor Marti Smith, Evangeline Ordaz, Nathan Louis Jackson, Mfoniso Udofia, Franky Gonzalez, Sahar Jahani"
13 Reasons Why,TV-MA,110,2017,99.0,80,13 reasons why,False,tt7350284,tvEpisode,13 Reasons Why,13 Reasons Why,0.0,2017.0,30,Drama,7.8,6.0,1,33,Unknown,Unknown,Unknown
13 Reasons Why,TV-MA,110,2017,99.0,80,13 reasons why,False,tt7358808,tvEpisode,13 Reasons Why,13 Reasons Why,0.0,2017.0,30,Comedy,8.1,34.0,1,8,"Michael Lysaght, Michael Lysaght",Unknown,Michael Lysaght
Sand Castle,TV-MA,110,2017,89.0,80,sand castle,False,tt2582576,movie,Sand Castle,Sand Castle,0.0,2017.0,113,"Action,Drama,War",6.3,29302.0,,,"Henry Cavill, Sope Dirisu, Fernando Coimbra, Chris Roessner, Justin Nappi, Mike Gunn",Fernando Coimbra,Chris Roessner
