tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes,parentTconst,seasonNumber,episodeNumber,principals_names_list,directors_names,writers_names
tt0001138,short,The Brothers,The Brothers,0,1910,\N,\N,"Drama,Short",nm0294276,\N,,,,,,Theo Frenkel,Theo Frenkel,
tt0001682,short,Home,Home,0,1911,\N,\N,"Drama,Short",nm0002177,nm0581683,,,,,,"Oscar Apfel, Bannister Merwin",Oscar Apfel,Bannister Merwin
tt0002197,short,Friends,Friends,0,1912,\N,17,"Romance,Short,Western",nm0000428,nm0000428,5.5,336,,,,"D.W. Griffith, D.W. Griffith",D.W. Griffith,D.W. Griffith
tt0002545,short,Twilight,Twilight,0,1912,\N,\N,"Drama,Romance,Short",\N,\N,7.6,17,,,,,,
tt0002804,short,The Discovery,The Discovery,0,1913,\N,11,"Comedy,Family,Romance",\N,\N,,,,,,,,
tt0003859,movie,Dope,Dope,0,1914,\N,\N,Drama,nm0509287,"nm0509287,nm0666286",,,,,,"Laura Nelson Hall, Christine Blessing, Herman Lieb, Herman Lieb, Herman Lieb, Joseph Medill Patterson",Herman Lieb,"Herman Lieb, Joseph Medill Patterson"
tt0004259,movie,Love,Love,0,1914,\N,\N,\N,nm0698839,\N,,,,,,Yakov Protazanov,Yakov Protazanov,
tt0004696,movie,The Three Musketeers,The Three Musketeers,0,1914,\N,\N,Drama,nm0377053,nm0241416,5.4,20,,,,"Earl Talbot, Charles V. Henkel, Alexandre Dumas",Charles V. Henkel,Alexandre Dumas
tt0005504,movie,Home,Home,0,1915,\N,\N,"Drama,Romance",nm0002061,\N,,,,,,"M. Gray Murray, Compton Coutts, Maurice Elvey",Maurice Elvey,
tt0006008,movie,Scandal,Scandal,0,1915,\N,50,Drama,"nm0806565,nm0916665",nm0916665,5.8,45,,,,"Lois Weber, Phillips Smalley, Abe Mundon, Alice Thomson, Grace Johnson, Sis Matthews, Phillips Smalley, Lois Weber, Lois Weber","Phillips Smalley, Lois Weber",Lois Weber
